iter	Passed	Remaining
1082	9367	16580
1083	9377	16574
1084	9386	16567
1085	9396	16560
1086	9404	16550
1087	9418	16551
1088	9423	16536
1089	9431	16527
1090	9442	16522
1091	9449	16509
1092	9456	16499
1093	9465	16490
1094	9473	16481
1095	9480	16469
1096	9490	16463
1097	9501	16458
1098	9509	16448
1099	9515	16435
1100	9520	16420
1101	9528	16411
1102	9538	16404
1103	9550	16402
1104	9558	16391
1105	9566	16382
1106	9573	16371
1107	9579	16358
1108	9585	16344
1109	9593	16335
1110	9601	16325
1111	9608	16314
1112	9615	16301
1113	9619	16284
1114	9625	16272
1115	9634	16264
1116	9643	16256
1117	9648	16241
1118	9654	16229
1119	9660	16215
1120	9667	16204
1121	9674	16192
1122	9682	16182
1123	9687	16168
1124	9692	16154
1125	9702	16147
1126	9708	16135
1127	9716	16126
1128	9727	16119
1129	9737	16113
1130	9753	16117
1131	9765	16115
1132	9778	16113
1133	9788	16106
1134	9795	16096
1135	9803	16085
1136	9811	16075
1137	9820	16069
1138	9827	16056
1139	9836	16049
1140	9847	16044
1141	9855	16034
1142	9864	16026
1143	9870	16013
1144	9878	16003
1145	9887	15995
1146	9894	15984
1147	9901	15973
1148	9911	15966
1149	9921	15960
1150	9931	15954
1151	9941	15947
1152	9948	15936
1153	9956	15927
1154	9964	15917
1155	9974	15910
1156	9981	15900
1157	9989	15890
1158	9997	15879
1159	10005	15871
1160	10013	15861
1161	10020	15850
1162	10029	15841
1163	10038	15833
1164	10045	15821
1165	10051	15809
1166	10061	15803
1167	10070	15796
1168	10077	15784
1169	10085	15775
1170	10094	15766
1171	10101	15755
1172	10109	15745
1173	10118	15737
1174	10147	15761
1175	10165	15766
1176	10172	15755
1177	10178	15743
1178	10185	15731
1179	10192	15721
1180	10199	15709
1181	10206	15698
1182	10210	15683
1183	10218	15673
1184	10243	15689
1185	10268	15705
1186	10289	15715
1187	10295	15703
1188	10306	15697
1189	10315	15690
1190	10325	15683
1191	10336	15678
1192	10347	15673
1193	10356	15664
1194	10366	15658
1195	10375	15650
1196	10383	15640
1197	10393	15634
1198	10404	15627
1199	10411	15616
1200	10419	15608
1201	10424	15593
1202	10428	15577
1203	10435	15566
1204	10441	15553
1205	10449	15544
1206	10456	15533
1207	10465	15525
